"Name","Age_group","1st doses 07 Dec to 13 Dec 2020","1st doses 14 Dec to 20 Dec 2020","1st doses 21 Dec to 27 Dec 2020","1st doses 28 Dec to 03 Jan 2021","1st doses 04 Jan to 10 Jan 2021","1st doses 11 Jan to 17 Jan 2021","1st doses 18 Jan to 24 Jan 2021","1st doses 25 Jan to 31 Jan 2021","1st doses 01 Feb to 07 Feb 2021","1st doses 08 Feb to 14 Feb 2021","1st doses 15 Feb to 21 Feb 2021","1st doses 22 Feb to 28 Feb 2021","1st doses 01 Mar to 07 Mar 2021","1st doses 08 Mar to 14 Mar 2021","1st doses 15 Mar to 21 Mar 2021","1st doses 22 Mar to 28 Mar 2021","1st doses 29 Mar to 04 Apr 2021","1st doses 05 Apr to 11 Apr 2021","1st doses 12 Apr to 18 Apr 2021","1st doses 19 Apr to 25 Apr 2021","1st doses 26 Apr to 02 May 2021","1st doses 03 May to 09 May 2021","1st doses 10 May to 16 May 2021","1st doses 17 May to 23 May 2021","1st doses 24 May to 30 May 2021","1st doses 31 May to 06 Jun 2021","1st doses 07 Jun to 13 Jun 2021","1st doses 14 Jun to 20 Jun 2021","1st doses 21 Jun to 27 Jun 2021","1st doses 28 Jun to 04 Jul 2021","1st doses 05 Jul to 11 Jul 2021","1st doses 12 Jul to 18 Jul 2021","1st doses 19 Jul to 25 Jul 2021","1st doses 26 Jul to 01 Aug 2021","1st doses 02 Aug to 08 Aug 2021","1st doses 09 Aug to 15 Aug 2021","1st doses 16 Aug to 22 Aug 2021","1st doses 23 Aug to 29 Aug 2021","1st doses 30 Aug to 05 Sep 2021","1st doses 06 Sep to 12 Sep 2021","1st doses 13 Sep to 19 Sep 2021","1st doses 20 Sep to 26 Sep 2021","1st doses 27 Sep to 03 Oct 2021","1st doses 04 Oct to 10 Oct 2021","1st doses 11 Oct to 17 Oct 2021","1st doses 18 Oct to 24 Oct 2021","1st doses 25 Oct to 31 Oct 2021","1st doses 01 Nov to 07 Nov 2021","1st doses 08 Nov to 14 Nov 2021","Dose","2nd doses 07 Dec to 13 Dec 2020","2nd doses 14 Dec to 20 Dec 2020","2nd doses 21 Dec to 27 Dec 2020","2nd doses 28 Dec to 03 Jan 2021","2nd doses 04 Jan to 10 Jan 2021","2nd doses 11 Jan to 17 Jan 2021","2nd doses 18 Jan to 24 Jan 2021","2nd doses 25 Jan to 31 Jan 2021","2nd doses 01 Feb to 07 Feb 2021","2nd doses 08 Feb to 14 Feb 2021","2nd doses 15 Feb to 21 Feb 2021","2nd doses 22 Feb to 28 Feb 2021","2nd doses 01 Mar to 07 Mar 2021","2nd doses 08 Mar to 14 Mar 2021","2nd doses 15 Mar to 21 Mar 2021","2nd doses 22 Mar to 28 Mar 2021","2nd doses 29 Mar to 04 Apr 2021","2nd doses 05 Apr to 11 Apr 2021","2nd doses 12 Apr to 18 Apr 2021","2nd doses 19 Apr to 25 Apr 2021","2nd doses 26 Apr to 02 May 2021","2nd doses 03 May to 09 May 2021","2nd doses 10 May to 16 May 2021","2nd doses 17 May to 23 May 2021","2nd doses 24 May to 30 May 2021","2nd doses 31 May to 06 Jun 2021","2nd doses 07 Jun to 13 Jun 2021","2nd doses 14 Jun to 20 Jun 2021","2nd doses 21 Jun to 27 Jun 2021","2nd doses 28 Jun to 04 Jul 2021","2nd doses 05 Jul to 11 Jul 2021","2nd doses 12 Jul to 18 Jul 2021","2nd doses 19 Jul to 25 Jul 2021","2nd doses 26 Jul to 01 Aug 2021","2nd doses 02 Aug to 08 Aug 2021","2nd doses 09 Aug to 15 Aug 2021","2nd doses 16 Aug to 22 Aug 2021","2nd doses 23 Aug to 29 Aug 2021","2nd doses 30 Aug to 05 Sep 2021","2nd doses 06 Sep to 12 Sep 2021","2nd doses 13 Sep to 19 Sep 2021","2nd doses 20 Sep to 26 Sep 2021","2nd doses 27 Sep to 03 Oct 2021","2nd doses 04 Oct to 10 Oct 2021","2nd doses 11 Oct to 17 Oct 2021","2nd doses 18 Oct to 24 Oct 2021","2nd doses 25 Oct to 31 Oct 2021","2nd doses 01 Nov to 07 Nov 2021","2nd doses 08 Nov to 14 Nov 2021"
"Adur","65-69 years",0.000819224467504096,0.000819224467504096,0.00382304751501912,0.00464227198252321,0.0101037684325505,0.0139268159475696,0.0166575641725833,0.0333151283451666,0.0603495357728017,0.225013653741125,0.21791370835609,0.19006007646095,0.0928454396504642,0.0305843801201529,0.0232113599126161,0.00436919716002185,0.00218459858001092,0.00273074822501365,0.00191152375750956,0.00109229929000546,0.00273074822501365,0.000546149645002731,0.000819224467504096,0,0.00163844893500819,0.000546149645002731,0,0.000546149645002731,0.000273074822501365,0.000546149645002731,0.000546149645002731,0.000273074822501365,0.000546149645002731,0.000273074822501365,0.000273074822501365,0,0,0.000273074822501365,0,0,0,0.000273074822501365,0,0.000273074822501365,0.000546149645002731,0.000273074822501365,0,0,0.000273074822501365,"Dose 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adur","65-69 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dose 2",0,0,0,0.000273074822501365,0.00109229929000546,0.000273074822501365,0,0,0.000273074822501365,0,0,0.00136537411250683,0.000819224467504096,0.00518842162752594,0.00655379574003277,0.0125614418350628,0.0136537411250683,0.0229382850901147,0.0406881485527034,0.175314036045877,0.132714363735664,0.214363735663572,0.158656471873293,0.0772801747678864,0.0445111960677226,0.00928454396504642,0.00409612233752048,0.00300382304751502,0.00109229929000546,0.00218459858001092,0.000546149645002731,0.00191152375750956,0.000819224467504096,0.000819224467504096,0.000546149645002731,0.000273074822501365,0.000546149645002731,0,0.000546149645002731,0.00163844893500819,0.000546149645002731,0,0,0.000819224467504096,0.000273074822501365,0,0,0.000546149645002731,0.000273074822501365
"Adur","60-64 years",0.00266925503518563,0.00169861684057268,0.00655180781363747,0.0104343605920893,0.0196554234409124,0.0296044649356952,0.0254792526085901,0.0383402086872118,0.0468332928900752,0.0131036156272749,0.149720941519049,0.138558602281,0.133705411307935,0.150691579713662,0.118175200194128,0.0143169133705411,0.00727978645959718,0.00315457413249211,0.0012132977432662,0.000970638194612958,0.00169861684057268,0.000727978645959719,0.0012132977432662,0.00266925503518563,0.00339723368114535,0.00266925503518563,0.000485319097306479,0.00024265954865324,0.0012132977432662,0.000485319097306479,0.00024265954865324,0.000727978645959719,0.000727978645959719,0.000727978645959719,0.00024265954865324,0.000485319097306479,0.000727978645959719,0.000485319097306479,0,0,0,0,0,0,0.00024265954865324,0,0.000485319097306479,0,0,"Dose 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adur","60-64 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dose 2",0,0,0,0.0012132977432662,0.00194127638922592,0.000485319097306479,0,0.000485319097306479,0.00024265954865324,0.000485319097306479,0.00024265954865324,0.0024265954865324,0.00169861684057268,0.0128609560786217,0.0101917010434361,0.0247512739626304,0.0249939335112837,0.0213540402814851,0.0512011647658335,0.0393108468818248,0.0555690366415918,0.126182965299685,0.13030817762679,0.148022324678476,0.169133705411308,0.0444066974035428,0.0225673380247513,0.00849308420286338,0.0024265954865324,0.00412521232710507,0.000727978645959719,0.00145595729191944,0.00145595729191944,0,0.000970638194612958,0,0.000727978645959719,0.000727978645959719,0,0.00145595729191944,0.000485319097306479,0.000485319097306479,0.00024265954865324,0.000727978645959719,0.000727978645959719,0.000485319097306479,0,0.000727978645959719,0.00024265954865324
"Adur","55-59 years",0.00105263157894737,0.00252631578947368,0.00526315789473684,0.00821052631578947,0.0202105263157895,0.0301052631578947,0.024,0.0376842105263158,0.0349473684210526,0.00926315789473684,0.105473684210526,0.0861052631578947,0.0376842105263158,0.0774736842105263,0.344842105263158,0.06,0.00821052631578947,0.00336842105263158,0.00336842105263158,0.00231578947368421,0.00168421052631579,0.000421052631578947,0.00105263157894737,0.00252631578947368,0.00105263157894737,0.00189473684210526,0.000631578947368421,0.00147368421052632,0.000421052631578947,0.00147368421052632,0.00126315789473684,0.000210526315789474,0.000631578947368421,0.000842105263157895,0.000210526315789474,0,0.000421052631578947,0.000421052631578947,0.000210526315789474,0,0.000631578947368421,0.000210526315789474,0,0.000631578947368421,0,0.000210526315789474,0.000421052631578947,0.000210526315789474,0,"Dose 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adur","55-59 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dose 2",0,0,0,0.000842105263157895,0.00126315789473684,0.000210526315789474,0.000210526315789474,0.000631578947368421,0,0,0,0.00189473684210526,0.000421052631578947,0.0122105263157895,0.0103157894736842,0.0269473684210526,0.0233684210526316,0.0210526315789474,0.0416842105263158,0.0336842105263158,0.0446315789473684,0.0896842105263158,0.0903157894736842,0.107157894736842,0.160842105263158,0.088,0.0972631578947368,0.0218947368421053,0.004,0.00926315789473684,0.00147368421052632,0.00294736842105263,0.00336842105263158,0.000842105263157895,0.00168421052631579,0.00126315789473684,0.00210526315789474,0.000631578947368421,0.000842105263157895,0.00105263157894737,0.000631578947368421,0.000631578947368421,0,0.000421052631578947,0.00126315789473684,0.000210526315789474,0.000421052631578947,0.000421052631578947,0.000210526315789474
"Adur","50-54 years",0.00328879753340185,0.00226104830421377,0.00431654676258993,0.00883864337101747,0.0184994861253854,0.0308324768756423,0.0265159301130524,0.0314491264131552,0.0345323741007194,0.010688591983556,0.0367934224049332,0.100513874614594,0.0316546762589928,0.044398766700925,0.361151079136691,0.0760534429599178,0.0131551901336074,0.00863309352517986,0.0158273381294964,0.0176772867420349,0.00945529290853032,0.00287769784172662,0.00452209660842754,0.00411099691675231,0.00287769784172662,0.00164439876670093,0.00102774922918808,0.00102774922918808,0.00123329907502569,0.00102774922918808,0.00102774922918808,0.00102774922918808,0.000616649537512847,0.000411099691675231,0,0.000205549845837616,0.000411099691675231,0.000411099691675231,0.000205549845837616,0.000616649537512847,0.000822199383350463,0.000411099691675231,0.000205549845837616,0.000616649537512847,0.000205549845837616,0.000411099691675231,0.000411099691675231,0.000411099691675231,0,"Dose 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adur","50-54 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dose 2",0,0,0,0.00205549845837616,0.00287769784172662,0.000411099691675231,0,0.000411099691675231,0.000205549845837616,0,0.000205549845837616,0.00205549845837616,0.000822199383350463,0.00863309352517986,0.0115107913669065,0.0234326824254882,0.0203494347379239,0.023021582733813,0.0421377183967112,0.03103802672148,0.0468653648509764,0.0217882836587873,0.129496402877698,0.157862281603289,0.197122302158273,0.0499486125385406,0.0316546762589928,0.0365878725590956,0.00698869475847893,0.0156217882836588,0.00986639260020555,0.00719424460431655,0.00616649537512847,0.00205549845837616,0.00431654676258993,0.00164439876670093,0.00143884892086331,0.000616649537512847,0.000616649537512847,0.000411099691675231,0.00164439876670093,0.000822199383350463,0,0.000205549845837616,0.000616649537512847,0.000205549845837616,0,0.000822199383350463,0.00123329907502569
"Adur","45-49 years",0.00243040212107821,0.00309323906319046,0.00463985859478568,0.00839593460008838,0.020106053910738,0.0267344233318604,0.0289438798055678,0.0304904993371631,0.0227574016791869,0.0101634997790544,0.0251878038002651,0.0720282810428635,0.0249668581528944,0.0234202386212992,0.035793194874061,0.0309323906319046,0.0123729562527618,0.0181175430844012,0.140300486080424,0.197746354396818,0.0883782589482987,0.0125939019001326,0.013919575784357,0.0103844454264251,0.00353513035793195,0.00463985859478568,0.00176756517896597,0.00243040212107821,0.00243040212107821,0.00397702165267344,0.00265134776844896,0.00110472823685373,0.00220945647370747,0.000441891294741494,0.00066283694211224,0.000441891294741494,0.00066283694211224,0.000220945647370747,0,0.000441891294741494,0.00066283694211224,0.000220945647370747,0,0.000220945647370747,0.00066283694211224,0.000220945647370747,0.000441891294741494,0.000441891294741494,0.00066283694211224,"Dose 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adur","45-49 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dose 2",0,0,0,0.00176756517896597,0.00198851082633672,0.00066283694211224,0.000220945647370747,0,0,0,0,0.0033141847105612,0.00066283694211224,0.00950066283694211,0.013919575784357,0.0234202386212992,0.0181175430844012,0.0223155103844454,0.0338046840477243,0.0229783473265577,0.034025629695095,0.0178965974370305,0.0552364118426867,0.0212107821475917,0.0749005744586832,0.0969951391957578,0.0709235528060097,0.0943437914273089,0.0320371188687583,0.0819708351745471,0.0574458683163942,0.0300486080424216,0.0185594343791427,0.00817498895271763,0.00640742377375166,0.00309323906319046,0.00463985859478568,0.00287229341581971,0.00287229341581971,0.00154661953159523,0.000220945647370747,0.00176756517896597,0.00066283694211224,0.00110472823685373,0.00066283694211224,0.000883782589482987,0.000441891294741494,0.00066283694211224,0.00110472823685373
